SampleID n_geno_missing n_het_total n_hom_total n_het_covered n_hom_covered n_het_consistent n_hom_consistent perc_het_consistent perc_hom_consistent n_het_in_ase
NA20588 0 28553 56932 192 482 58 283 0 0 17
NA20589 0 30611 54874 256 418 114 275 0 0 40
NA20752 0 29729 55756 249 425 122 290 0 0 29
NA20754 0 26762 58723 223 451 93 287 0 0 33
NA20756 0 28578 56907 242 432 92 267 0 0 30
NA20757 0 26794 58691 176 498 84 325 0 0 28
NA20758 0 28061 57424 207 467 101 311 0 0 32
NA20759 0 25472 60013 181 493 70 306 0 0 25
NA20760 0 28439 57046 237 437 116 296 0 0 37
NA20761 0 27685 57800 240 434 101 278 0 0 30
NA20765 0 27750 57735 183 491 101 335 0 0 24
NA20766 0 27905 57580 196 478 85 306 0 0 22
NA20768 0 28082 57403 186 488 96 327 0 0 21
NA20769 0 30427 55058 249 425 113 281 0 0 31
NA20770 0 30670 54815 260 414 130 287 0 0 38
NA20771 0 28952 56533 226 448 93 284 0 0 27
NA20772 0 26586 58899 204 470 70 283 0 0 22
NA20773 0 28046 57439 216 458 89 290 0 0 24
NA20774 0 27826 57659 192 482 82 307 0 0 23
NA20778 0 28107 57378 191 483 76 302 0 0 21
NA20783 0 28278 57207 212 462 89 294 0 0 24
NA20785 0 30716 54769 228 446 107 296 0 0 34
NA20786 0 27047 58438 242 432 83 258 0 0 32
NA20787 0 27867 57618 238 436 96 275 0 0 30
NA20790 0 25331 60154 214 460 96 299 0 0 19
NA20792 0 25979 59506 217 457 85 285 0 0 31
NA20795 0 28801 56684 234 440 92 275 0 0 29
NA20796 0 29862 55623 261 413 114 270 0 0 36
NA20797 0 27589 57896 235 439 104 286 0 0 26
NA20798 0 30527 54958 285 389 126 258 0 0 37
NA20799 0 26516 58969 219 455 110 308 0 0 28
NA20800 0 25533 59952 212 462 97 302 0 0 25
NA20801 0 27850 57635 204 470 98 311 0 0 26
NA20802 0 25913 59572 168 506 74 323 0 0 13
NA20803 0 26937 58548 282 392 132 267 0 0 37
NA20804 0 29411 56074 226 448 101 292 0 0 35
NA20805 0 31411 54074 260 414 99 256 0 0 32
NA20806 0 27200 58285 206 468 93 304 0 0 24
NA20807 0 30666 54819 250 424 122 289 0 0 37
NA20808 0 27389 58096 219 455 99 297 0 0 22
NA20809 0 28413 57072 248 426 98 267 0 0 32
NA20810 0 29252 56233 218 456 97 296 0 0 30
NA20811 0 29359 56126 217 457 82 282 0 0 29
NA20812 0 29029 56456 273 401 115 259 0 0 34
NA20813 0 26665 58820 206 468 83 294 0 0 26
NA20814 0 27073 58412 178 496 74 313 0 0 28
NA20815 0 28158 57327 226 448 102 293 0 0 28
NA20819 0 28062 57423 214 460 93 296 0 0 23
NA20826 0 27735 57750 217 457 86 286 0 0 32
NA20828 0 28903 56582 223 451 89 283 0 0 26
